,Progenitors,Neurovascular ECs,Pulmonary ECs,Lymphatic ECs,Endocardium,Hepatic ECs,Gastrointestinal ECs,Renal ECs,Muscular&dermal ECs,Arterial ECs,EndoMT
A1bg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1cf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2m,0.001,0.004,0.012,0.005,0.08,0.069,0.014,0.007,0.002,0.003,0.031
A2ml1,0.0,0.001,0.005,0.007,0.001,0.005,0.002,0.002,0.011,0.007,0.006
A3galt2,0.003,0.002,0.009,0.009,0.003,0.011,0.01,0.009,0.008,0.007,0.006
A4galt,0.001,0.038,0.011,0.097,0.006,0.002,0.01,0.002,0.041,0.04,0.053
A4gnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB041806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB124611,0.0,0.001,0.004,0.002,0.002,0.027,0.002,0.006,0.001,0.002,0.007
AF067061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF067063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF357341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF357399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF357425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF357428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF366264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI115009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI182371,0.001,0.002,0.007,0.003,0.002,0.005,0.005,0.005,0.003,0.003,0.003
AI197445,0.0,0.0,0.01,0.0,0.001,0.007,0.0,0.002,0.0,0.0,0.001
AI314278,0.003,0.001,0.001,0.004,0.002,0.002,0.002,0.002,0.003,0.002,0.002
AI413582,0.053,0.099,0.086,0.129,0.07,0.13,0.076,0.08,0.071,0.05,0.074
AI427809,0.0,0.002,0.001,0.001,0.004,0.001,0.002,0.0,0.005,0.002,0.009
AI429214,0.004,0.011,0.005,0.007,0.01,0.006,0.004,0.007,0.004,0.006,0.007
AI463170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI463229,0.001,0.001,0.003,0.003,0.011,0.009,0.003,0.002,0.004,0.002,0.004
AI464131,0.001,0.005,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.014
AI467606,0.014,0.163,0.008,0.037,0.008,0.007,0.041,0.028,0.035,0.052,0.038
AI480526,0.029,0.089,0.054,0.068,0.094,0.02,0.039,0.059,0.049,0.08,0.073
AI481877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI504432,0.02,0.018,0.012,0.004,0.022,0.021,0.021,0.007,0.01,0.006,0.015
AI506816,0.474,0.404,0.436,0.519,0.468,0.434,0.477,0.431,0.453,0.324,0.418
AI507597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI593442,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
